,id,redshift,mass,simulation,snap,ax,rot
0,tSZ_sim=D9_snap=068_mass=13.72_reds=0.31_ax=x_rot=90,0.31,13.72,D9,068,x,90
0,tSZ_sim=D17_snap=036_mass=13.79_reds=1.48_ax=y_rot=270,1.48,13.79,D17,036,y,270
0,tSZ_sim=D6_snap=080_mass=14.85_reds=0.13_ax=z_rot=0,0.13,14.85,D6,080,z,0
0,tSZ_sim=D4_snap=040_mass=13.36_reds=1.05_ax=y_rot=90,1.05,13.36,D4,040,y,90
0,tSZ_sim=D27_snap=040_mass=14.21_reds=1.05_ax=y_rot=0,1.05,14.21,D27,040,y,0
0,tSZ_sim=D27_snap=040_mass=14.21_reds=1.05_ax=z_rot=0,1.05,14.21,D27,040,z,0
0,tSZ_sim=D9_snap=056_mass=13.65_reds=0.55_ax=z_rot=180,0.55,13.65,D9,056,z,180
0,tSZ_sim=D18_snap=072_mass=14.67_reds=0.25_ax=x_rot=90,0.25,14.67,D18,072,x,90
0,tSZ_sim=D7_snap=040_mass=14.01_reds=1.05_ax=y_rot=90,1.05,14.01,D7,040,y,90
0,tSZ_sim=D21_snap=044_mass=14.39_reds=0.89_ax=y_rot=0,0.89,14.39,D21,044,y,0
0,tSZ_sim=D14_snap=084_mass=14.92_reds=0.08_ax=y_rot=90,0.08,14.92,D14,084,y,90
0,tSZ_sim=D22_snap=060_mass=14.96_reds=0.46_ax=z_rot=270,0.46,14.96,D22,060,z,270
0,tSZ_sim=D29_snap=044_mass=14.22_reds=0.89_ax=x_rot=180,0.89,14.22,D29,044,x,180
0,tSZ_sim=D5_snap=048_mass=13.76_reds=0.76_ax=y_rot=270,0.76,13.76,D5,048,y,270
0,tSZ_sim=D25_snap=048_mass=14.06_reds=0.76_ax=y_rot=180,0.76,14.06,D25,048,y,180
0,tSZ_sim=D13_snap=076_mass=14.50_reds=0.19_ax=x_rot=270,0.19,14.5,D13,076,x,270
0,tSZ_sim=D1_snap=064_mass=14.89_reds=0.39_ax=y_rot=270,0.39,14.89,D1,064,y,270
0,tSZ_sim=D28_snap=036_mass=13.74_reds=1.48_ax=x_rot=180,1.48,13.74,D28,036,x,180
0,tSZ_sim=D26_snap=032_mass=13.66_reds=2.01_ax=z_rot=90,2.01,13.66,D26,032,z,90
0,tSZ_sim=D28_snap=036_mass=13.74_reds=1.48_ax=x_rot=270,1.48,13.74,D28,036,x,270
0,tSZ_sim=D17_snap=088_mass=14.97_reds=0.03_ax=x_rot=90,0.03,14.97,D17,088,x,90
0,tSZ_sim=D24_snap=088_mass=14.90_reds=0.03_ax=z_rot=0,0.03,14.9,D24,088,z,0
0,tSZ_sim=D19_snap=068_mass=14.72_reds=0.31_ax=y_rot=180,0.31,14.72,D19,068,y,180
0,tSZ_sim=D29_snap=036_mass=13.51_reds=1.48_ax=x_rot=270,1.48,13.51,D29,036,x,270
0,tSZ_sim=D18_snap=076_mass=14.67_reds=0.19_ax=y_rot=270,0.19,14.67,D18,076,y,270
0,tSZ_sim=D19_snap=084_mass=14.88_reds=0.08_ax=x_rot=0,0.08,14.88,D19,084,x,0
0,tSZ_sim=D17_snap=041_mass=13.70_reds=1.00_ax=z_rot=0,1.0,13.7,D17,041,z,0
0,tSZ_sim=D17_snap=060_mass=14.09_reds=0.46_ax=x_rot=90,0.46,14.09,D17,060,x,90
0,tSZ_sim=D9_snap=088_mass=13.83_reds=0.03_ax=y_rot=0,0.03,13.83,D9,088,y,0
0,tSZ_sim=D10_snap=040_mass=14.47_reds=1.05_ax=y_rot=180,1.05,14.47,D10,040,y,180
0,tSZ_sim=D24_snap=072_mass=14.88_reds=0.25_ax=x_rot=90,0.25,14.88,D24,072,x,90
0,tSZ_sim=D20_snap=076_mass=14.93_reds=0.19_ax=y_rot=90,0.19,14.93,D20,076,y,90
0,tSZ_sim=D25_snap=040_mass=13.50_reds=1.05_ax=z_rot=0,1.05,13.5,D25,040,z,0
0,tSZ_sim=D25_snap=052_mass=14.31_reds=0.65_ax=z_rot=180,0.65,14.31,D25,052,z,180
0,tSZ_sim=D12_snap=060_mass=14.35_reds=0.46_ax=y_rot=180,0.46,14.35,D12,060,y,180
0,tSZ_sim=D7_snap=040_mass=14.01_reds=1.05_ax=x_rot=270,1.05,14.01,D7,040,x,270
0,tSZ_sim=D16_snap=064_mass=14.86_reds=0.39_ax=z_rot=180,0.39,14.86,D16,064,z,180
0,tSZ_sim=D16_snap=068_mass=14.84_reds=0.31_ax=z_rot=90,0.31,14.84,D16,068,z,90
0,tSZ_sim=D10_snap=056_mass=14.45_reds=0.55_ax=y_rot=180,0.55,14.45,D10,056,y,180
0,tSZ_sim=D18_snap=032_mass=13.80_reds=2.01_ax=y_rot=0,2.01,13.8,D18,032,y,0
0,tSZ_sim=D23_snap=072_mass=14.53_reds=0.25_ax=z_rot=270,0.25,14.53,D23,072,z,270
0,tSZ_sim=D8_snap=041_mass=13.87_reds=1.00_ax=x_rot=180,1.0,13.87,D8,041,x,180
0,tSZ_sim=D27_snap=048_mass=14.29_reds=0.76_ax=y_rot=90,0.76,14.29,D27,048,y,90
0,tSZ_sim=D11_snap=076_mass=14.69_reds=0.19_ax=z_rot=270,0.19,14.69,D11,076,z,270
0,tSZ_sim=D5_snap=064_mass=13.93_reds=0.38_ax=x_rot=90,0.38,13.93,D5,064,x,90
0,tSZ_sim=D3_snap=060_mass=14.46_reds=0.46_ax=y_rot=0,0.46,14.46,D3,060,y,0
0,tSZ_sim=D1_snap=052_mass=14.75_reds=0.65_ax=z_rot=180,0.65,14.75,D1,052,z,180
0,tSZ_sim=D24_snap=032_mass=13.84_reds=2.01_ax=z_rot=180,2.01,13.84,D24,032,z,180
0,tSZ_sim=D1_snap=040_mass=14.27_reds=1.05_ax=y_rot=0,1.05,14.27,D1,040,y,0
0,tSZ_sim=D15_snap=084_mass=14.85_reds=0.08_ax=x_rot=180,0.08,14.85,D15,084,x,180
0,tSZ_sim=D8_snap=072_mass=14.25_reds=0.25_ax=z_rot=0,0.25,14.25,D8,072,z,0
0,tSZ_sim=D21_snap=076_mass=14.73_reds=0.19_ax=z_rot=0,0.19,14.73,D21,076,z,0
0,tSZ_sim=D25_snap=041_mass=13.58_reds=1.00_ax=y_rot=0,1.0,13.58,D25,041,y,0
0,tSZ_sim=D11_snap=044_mass=14.06_reds=0.89_ax=z_rot=180,0.89,14.06,D11,044,z,180
0,tSZ_sim=D25_snap=056_mass=14.25_reds=0.55_ax=x_rot=180,0.55,14.25,D25,056,x,180
0,tSZ_sim=D21_snap=080_mass=14.74_reds=0.13_ax=x_rot=270,0.13,14.74,D21,080,x,270
0,tSZ_sim=D6_snap=084_mass=14.81_reds=0.08_ax=y_rot=90,0.08,14.81,D6,084,y,90
0,tSZ_sim=D18_snap=056_mass=14.44_reds=0.55_ax=y_rot=0,0.55,14.44,D18,056,y,0
0,tSZ_sim=D22_snap=060_mass=14.96_reds=0.46_ax=z_rot=0,0.46,14.96,D22,060,z,0
0,tSZ_sim=D29_snap=064_mass=14.61_reds=0.38_ax=y_rot=0,0.38,14.61,D29,064,y,0
0,tSZ_sim=D12_snap=036_mass=13.86_reds=1.48_ax=z_rot=90,1.48,13.86,D12,036,z,90
0,tSZ_sim=D26_snap=072_mass=14.74_reds=0.25_ax=x_rot=270,0.25,14.74,D26,072,x,270
0,tSZ_sim=D9_snap=032_mass=13.08_reds=2.00_ax=z_rot=180,2.0,13.08,D9,032,z,180
0,tSZ_sim=D6_snap=084_mass=14.81_reds=0.08_ax=z_rot=180,0.08,14.81,D6,084,z,180
0,tSZ_sim=D6_snap=048_mass=14.37_reds=0.76_ax=x_rot=180,0.76,14.37,D6,048,x,180
0,tSZ_sim=D4_snap=056_mass=14.11_reds=0.55_ax=z_rot=90,0.55,14.11,D4,056,z,90
0,tSZ_sim=D4_snap=084_mass=14.17_reds=0.08_ax=x_rot=0,0.08,14.17,D4,084,x,0
0,tSZ_sim=D21_snap=036_mass=14.25_reds=1.48_ax=y_rot=180,1.48,14.25,D21,036,y,180
0,tSZ_sim=D1_snap=072_mass=14.87_reds=0.25_ax=z_rot=0,0.25,14.87,D1,072,z,0
0,tSZ_sim=D21_snap=041_mass=14.37_reds=1.00_ax=z_rot=270,1.0,14.37,D21,041,z,270
0,tSZ_sim=D6_snap=032_mass=13.60_reds=2.01_ax=z_rot=180,2.01,13.6,D6,032,z,180
0,tSZ_sim=D27_snap=056_mass=14.71_reds=0.55_ax=y_rot=90,0.55,14.71,D27,056,y,90
0,tSZ_sim=D17_snap=040_mass=13.62_reds=1.05_ax=x_rot=270,1.05,13.62,D17,040,x,270
0,tSZ_sim=D12_snap=044_mass=14.26_reds=0.89_ax=z_rot=180,0.89,14.26,D12,044,z,180
0,tSZ_sim=D18_snap=080_mass=14.71_reds=0.13_ax=y_rot=180,0.13,14.71,D18,080,y,180
0,tSZ_sim=D28_snap=048_mass=14.01_reds=0.76_ax=z_rot=180,0.76,14.01,D28,048,z,180
0,tSZ_sim=D1_snap=052_mass=14.75_reds=0.65_ax=y_rot=0,0.65,14.75,D1,052,y,0
0,tSZ_sim=D13_snap=088_mass=14.84_reds=0.03_ax=z_rot=90,0.03,14.84,D13,088,z,90
0,tSZ_sim=D9_snap=040_mass=13.47_reds=1.05_ax=y_rot=90,1.05,13.47,D9,040,y,90
0,tSZ_sim=D9_snap=080_mass=13.83_reds=0.13_ax=z_rot=270,0.13,13.83,D9,080,z,270
0,tSZ_sim=D12_snap=088_mass=15.07_reds=0.03_ax=x_rot=90,0.03,15.07,D12,088,x,90
0,tSZ_sim=D17_snap=036_mass=13.79_reds=1.48_ax=z_rot=90,1.48,13.79,D17,036,z,90
0,tSZ_sim=D10_snap=040_mass=14.47_reds=1.05_ax=x_rot=0,1.05,14.47,D10,040,x,0
0,tSZ_sim=D12_snap=072_mass=14.63_reds=0.25_ax=y_rot=180,0.25,14.63,D12,072,y,180
0,tSZ_sim=D6_snap=060_mass=14.50_reds=0.46_ax=z_rot=0,0.46,14.5,D6,060,z,0
0,tSZ_sim=D15_snap=052_mass=14.62_reds=0.65_ax=x_rot=270,0.65,14.62,D15,052,x,270
0,tSZ_sim=D14_snap=084_mass=14.92_reds=0.08_ax=x_rot=90,0.08,14.92,D14,084,x,90
0,tSZ_sim=D18_snap=044_mass=14.30_reds=0.89_ax=x_rot=90,0.89,14.3,D18,044,x,90
0,tSZ_sim=D24_snap=048_mass=14.88_reds=0.76_ax=x_rot=270,0.76,14.88,D24,048,x,270
0,tSZ_sim=D23_snap=060_mass=14.30_reds=0.46_ax=x_rot=90,0.46,14.3,D23,060,x,90
0,tSZ_sim=D8_snap=060_mass=14.03_reds=0.46_ax=x_rot=90,0.46,14.03,D8,060,x,90
0,tSZ_sim=D6_snap=068_mass=14.64_reds=0.31_ax=y_rot=90,0.31,14.64,D6,068,y,90
0,tSZ_sim=D1_snap=072_mass=14.87_reds=0.25_ax=z_rot=180,0.25,14.87,D1,072,z,180
0,tSZ_sim=D8_snap=088_mass=14.49_reds=0.03_ax=x_rot=180,0.03,14.49,D8,088,x,180
0,tSZ_sim=D3_snap=032_mass=13.39_reds=2.01_ax=x_rot=90,2.01,13.39,D3,032,x,90
0,tSZ_sim=D10_snap=048_mass=14.15_reds=0.76_ax=y_rot=180,0.76,14.15,D10,048,y,180
0,tSZ_sim=D2_snap=064_mass=14.25_reds=0.38_ax=x_rot=180,0.38,14.25,D2,064,x,180
0,tSZ_sim=D16_snap=084_mass=15.05_reds=0.08_ax=y_rot=270,0.08,15.05,D16,084,y,270
0,tSZ_sim=D28_snap=048_mass=14.01_reds=0.76_ax=y_rot=90,0.76,14.01,D28,048,y,90
0,tSZ_sim=D6_snap=064_mass=14.57_reds=0.39_ax=y_rot=0,0.39,14.57,D6,064,y,0
0,tSZ_sim=D18_snap=084_mass=14.73_reds=0.08_ax=x_rot=0,0.08,14.73,D18,084,x,0
0,tSZ_sim=D11_snap=064_mass=14.84_reds=0.39_ax=x_rot=180,0.39,14.84,D11,064,x,180
0,tSZ_sim=D2_snap=060_mass=14.20_reds=0.46_ax=z_rot=270,0.46,14.2,D2,060,z,270
0,tSZ_sim=D7_snap=041_mass=14.04_reds=1.00_ax=y_rot=0,1.0,14.04,D7,041,y,0
0,tSZ_sim=D11_snap=068_mass=14.76_reds=0.31_ax=z_rot=90,0.31,14.76,D11,068,z,90
0,tSZ_sim=D29_snap=064_mass=14.61_reds=0.38_ax=y_rot=270,0.38,14.61,D29,064,y,270
0,tSZ_sim=D29_snap=060_mass=14.46_reds=0.46_ax=y_rot=0,0.46,14.46,D29,060,y,0
0,tSZ_sim=D17_snap=088_mass=14.97_reds=0.03_ax=x_rot=0,0.03,14.97,D17,088,x,0
0,tSZ_sim=D1_snap=036_mass=13.63_reds=1.48_ax=y_rot=0,1.48,13.63,D1,036,y,0
0,tSZ_sim=D11_snap=080_mass=14.73_reds=0.13_ax=y_rot=180,0.13,14.73,D11,080,y,180
0,tSZ_sim=D20_snap=056_mass=14.63_reds=0.55_ax=z_rot=0,0.55,14.63,D20,056,z,0
0,tSZ_sim=D3_snap=056_mass=14.46_reds=0.55_ax=y_rot=180,0.55,14.46,D3,056,y,180
0,tSZ_sim=D18_snap=040_mass=14.28_reds=1.05_ax=z_rot=90,1.05,14.28,D18,040,z,90
0,tSZ_sim=D14_snap=040_mass=14.48_reds=1.05_ax=x_rot=0,1.05,14.48,D14,040,x,0
0,tSZ_sim=D2_snap=036_mass=13.69_reds=1.48_ax=x_rot=90,1.48,13.69,D2,036,x,90
0,tSZ_sim=D8_snap=088_mass=14.49_reds=0.03_ax=y_rot=180,0.03,14.49,D8,088,y,180
0,tSZ_sim=D12_snap=036_mass=13.86_reds=1.48_ax=x_rot=180,1.48,13.86,D12,036,x,180
0,tSZ_sim=D4_snap=056_mass=14.11_reds=0.55_ax=x_rot=270,0.55,14.11,D4,056,x,270
0,tSZ_sim=D29_snap=056_mass=14.51_reds=0.55_ax=z_rot=180,0.55,14.51,D29,056,z,180
0,tSZ_sim=D13_snap=040_mass=13.98_reds=1.05_ax=y_rot=90,1.05,13.98,D13,040,y,90
0,tSZ_sim=D20_snap=036_mass=14.13_reds=1.48_ax=x_rot=180,1.48,14.13,D20,036,x,180
0,tSZ_sim=D26_snap=041_mass=14.57_reds=1.00_ax=z_rot=90,1.0,14.57,D26,041,z,90
0,tSZ_sim=D22_snap=064_mass=14.99_reds=0.39_ax=x_rot=270,0.39,14.99,D22,064,x,270
0,tSZ_sim=D12_snap=044_mass=14.26_reds=0.89_ax=x_rot=180,0.89,14.26,D12,044,x,180
0,tSZ_sim=D1_snap=036_mass=13.63_reds=1.48_ax=z_rot=90,1.48,13.63,D1,036,z,90
0,tSZ_sim=D27_snap=044_mass=14.28_reds=0.89_ax=y_rot=0,0.89,14.28,D27,044,y,0
0,tSZ_sim=D2_snap=084_mass=14.38_reds=0.08_ax=x_rot=90,0.08,14.38,D2,084,x,90
0,tSZ_sim=D12_snap=044_mass=14.26_reds=0.89_ax=x_rot=90,0.89,14.26,D12,044,x,90
0,tSZ_sim=D25_snap=044_mass=13.91_reds=0.89_ax=x_rot=270,0.89,13.91,D25,044,x,270
0,tSZ_sim=D7_snap=056_mass=14.48_reds=0.55_ax=y_rot=90,0.55,14.48,D7,056,y,90
0,tSZ_sim=D26_snap=040_mass=14.58_reds=1.05_ax=x_rot=270,1.05,14.58,D26,040,x,270
0,tSZ_sim=D1_snap=080_mass=14.97_reds=0.13_ax=z_rot=270,0.13,14.97,D1,080,z,270
0,tSZ_sim=D10_snap=060_mass=14.64_reds=0.46_ax=y_rot=270,0.46,14.64,D10,060,y,270
0,tSZ_sim=D2_snap=041_mass=13.96_reds=1.00_ax=z_rot=90,1.0,13.96,D2,041,z,90
0,tSZ_sim=D12_snap=036_mass=13.86_reds=1.48_ax=z_rot=180,1.48,13.86,D12,036,z,180
0,tSZ_sim=D9_snap=036_mass=13.43_reds=1.48_ax=y_rot=0,1.48,13.43,D9,036,y,0
0,tSZ_sim=D10_snap=072_mass=14.75_reds=0.25_ax=z_rot=180,0.25,14.75,D10,072,z,180
0,tSZ_sim=D3_snap=072_mass=14.54_reds=0.25_ax=y_rot=270,0.25,14.54,D3,072,y,270
0,tSZ_sim=D24_snap=056_mass=14.78_reds=0.55_ax=z_rot=270,0.55,14.78,D24,056,z,270
0,tSZ_sim=D27_snap=052_mass=14.56_reds=0.65_ax=y_rot=180,0.65,14.56,D27,052,y,180
0,tSZ_sim=D22_snap=072_mass=15.05_reds=0.25_ax=z_rot=180,0.25,15.05,D22,072,z,180
0,tSZ_sim=D18_snap=044_mass=14.30_reds=0.89_ax=y_rot=270,0.89,14.3,D18,044,y,270
0,tSZ_sim=D22_snap=064_mass=14.99_reds=0.39_ax=y_rot=270,0.39,14.99,D22,064,y,270
0,tSZ_sim=D24_snap=041_mass=14.38_reds=1.00_ax=x_rot=270,1.0,14.38,D24,041,x,270
0,tSZ_sim=D15_snap=041_mass=14.26_reds=1.00_ax=x_rot=90,1.0,14.26,D15,041,x,90
0,tSZ_sim=D23_snap=084_mass=14.56_reds=0.08_ax=x_rot=90,0.08,14.56,D23,084,x,90
0,tSZ_sim=D28_snap=044_mass=13.92_reds=0.89_ax=z_rot=180,0.89,13.92,D28,044,z,180
0,tSZ_sim=D1_snap=076_mass=14.90_reds=0.19_ax=y_rot=270,0.19,14.9,D1,076,y,270
0,tSZ_sim=D13_snap=052_mass=14.03_reds=0.65_ax=z_rot=270,0.65,14.03,D13,052,z,270
0,tSZ_sim=D2_snap=080_mass=14.37_reds=0.13_ax=x_rot=0,0.13,14.37,D2,080,x,0
0,tSZ_sim=D5_snap=036_mass=13.42_reds=1.48_ax=z_rot=180,1.48,13.42,D5,036,z,180
0,tSZ_sim=D4_snap=060_mass=14.12_reds=0.46_ax=x_rot=180,0.46,14.12,D4,060,x,180
0,tSZ_sim=D7_snap=048_mass=14.39_reds=0.76_ax=z_rot=0,0.76,14.39,D7,048,z,0
0,tSZ_sim=D11_snap=072_mass=14.71_reds=0.25_ax=y_rot=0,0.25,14.71,D11,072,y,0
0,tSZ_sim=D23_snap=072_mass=14.53_reds=0.25_ax=y_rot=0,0.25,14.53,D23,072,y,0
0,tSZ_sim=D22_snap=060_mass=14.96_reds=0.46_ax=x_rot=90,0.46,14.96,D22,060,x,90
0,tSZ_sim=D19_snap=044_mass=14.63_reds=0.89_ax=z_rot=180,0.89,14.63,D19,044,z,180
0,tSZ_sim=D7_snap=036_mass=14.04_reds=1.48_ax=y_rot=0,1.48,14.04,D7,036,y,0
0,tSZ_sim=D7_snap=048_mass=14.39_reds=0.76_ax=x_rot=180,0.76,14.39,D7,048,x,180
0,tSZ_sim=D23_snap=088_mass=14.84_reds=0.03_ax=y_rot=0,0.03,14.84,D23,088,y,0
0,tSZ_sim=D18_snap=080_mass=14.71_reds=0.13_ax=x_rot=0,0.13,14.71,D18,080,x,0
0,tSZ_sim=D16_snap=041_mass=14.58_reds=1.00_ax=y_rot=180,1.0,14.58,D16,041,y,180
0,tSZ_sim=D20_snap=040_mass=14.24_reds=1.05_ax=z_rot=270,1.05,14.24,D20,040,z,270
0,tSZ_sim=D15_snap=060_mass=14.65_reds=0.46_ax=y_rot=180,0.46,14.65,D15,060,y,180
0,tSZ_sim=D12_snap=041_mass=13.99_reds=1.00_ax=x_rot=270,1.0,13.99,D12,041,x,270
0,tSZ_sim=D2_snap=088_mass=14.36_reds=0.03_ax=x_rot=90,0.03,14.36,D2,088,x,90
0,tSZ_sim=D29_snap=052_mass=14.55_reds=0.65_ax=y_rot=90,0.65,14.55,D29,052,y,90
0,tSZ_sim=D1_snap=044_mass=14.14_reds=0.89_ax=x_rot=180,0.89,14.14,D1,044,x,180
0,tSZ_sim=D9_snap=064_mass=13.74_reds=0.38_ax=x_rot=180,0.38,13.74,D9,064,x,180
0,tSZ_sim=D28_snap=084_mass=14.79_reds=0.08_ax=x_rot=0,0.08,14.79,D28,084,x,0
0,tSZ_sim=D7_snap=052_mass=14.38_reds=0.65_ax=y_rot=180,0.65,14.38,D7,052,y,180
0,tSZ_sim=D1_snap=032_mass=13.30_reds=2.01_ax=y_rot=180,2.01,13.3,D1,032,y,180
0,tSZ_sim=D9_snap=080_mass=13.83_reds=0.13_ax=x_rot=180,0.13,13.83,D9,080,x,180
0,tSZ_sim=D24_snap=044_mass=14.73_reds=0.89_ax=x_rot=0,0.89,14.73,D24,044,x,0
0,tSZ_sim=D16_snap=041_mass=14.58_reds=1.00_ax=y_rot=270,1.0,14.58,D16,041,y,270
0,tSZ_sim=D16_snap=060_mass=14.77_reds=0.46_ax=y_rot=0,0.46,14.77,D16,060,y,0
0,tSZ_sim=D16_snap=076_mass=14.86_reds=0.19_ax=y_rot=90,0.19,14.86,D16,076,y,90
0,tSZ_sim=D26_snap=048_mass=14.57_reds=0.76_ax=x_rot=0,0.76,14.57,D26,048,x,0
0,tSZ_sim=D25_snap=060_mass=14.18_reds=0.46_ax=y_rot=270,0.46,14.18,D25,060,y,270
0,tSZ_sim=D17_snap=052_mass=14.25_reds=0.65_ax=x_rot=270,0.65,14.25,D17,052,x,270
0,tSZ_sim=D8_snap=080_mass=14.50_reds=0.13_ax=x_rot=180,0.13,14.5,D8,080,x,180
0,tSZ_sim=D20_snap=060_mass=14.62_reds=0.46_ax=z_rot=270,0.46,14.62,D20,060,z,270
0,tSZ_sim=D16_snap=040_mass=14.52_reds=1.05_ax=x_rot=90,1.05,14.52,D16,040,x,90
0,tSZ_sim=D23_snap=064_mass=14.51_reds=0.39_ax=x_rot=90,0.39,14.51,D23,064,x,90
0,tSZ_sim=D29_snap=088_mass=14.93_reds=0.03_ax=y_rot=0,0.03,14.93,D29,088,y,0
0,tSZ_sim=D9_snap=040_mass=13.47_reds=1.05_ax=y_rot=180,1.05,13.47,D9,040,y,180
0,tSZ_sim=D22_snap=080_mass=15.04_reds=0.13_ax=y_rot=180,0.13,15.04,D22,080,y,180
0,tSZ_sim=D10_snap=056_mass=14.45_reds=0.55_ax=z_rot=180,0.55,14.45,D10,056,z,180
0,tSZ_sim=D5_snap=056_mass=13.70_reds=0.55_ax=z_rot=90,0.55,13.7,D5,056,z,90
0,tSZ_sim=D13_snap=056_mass=14.18_reds=0.55_ax=z_rot=90,0.55,14.18,D13,056,z,90
0,tSZ_sim=D8_snap=060_mass=14.03_reds=0.46_ax=y_rot=90,0.46,14.03,D8,060,y,90
0,tSZ_sim=D29_snap=068_mass=14.67_reds=0.31_ax=z_rot=180,0.31,14.67,D29,068,z,180
0,tSZ_sim=D22_snap=064_mass=14.99_reds=0.39_ax=z_rot=270,0.39,14.99,D22,064,z,270
0,tSZ_sim=D29_snap=084_mass=14.83_reds=0.08_ax=z_rot=0,0.08,14.83,D29,084,z,0
0,tSZ_sim=D7_snap=076_mass=14.77_reds=0.19_ax=y_rot=90,0.19,14.77,D7,076,y,90
0,tSZ_sim=D29_snap=036_mass=13.51_reds=1.48_ax=x_rot=180,1.48,13.51,D29,036,x,180
0,tSZ_sim=D3_snap=041_mass=13.97_reds=1.00_ax=y_rot=90,1.0,13.97,D3,041,y,90
0,tSZ_sim=D10_snap=076_mass=14.77_reds=0.19_ax=y_rot=270,0.19,14.77,D10,076,y,270
0,tSZ_sim=D3_snap=044_mass=14.13_reds=0.89_ax=z_rot=90,0.89,14.13,D3,044,z,90
0,tSZ_sim=D2_snap=084_mass=14.38_reds=0.08_ax=z_rot=180,0.08,14.38,D2,084,z,180
0,tSZ_sim=D22_snap=044_mass=14.34_reds=0.89_ax=z_rot=180,0.89,14.34,D22,044,z,180
0,tSZ_sim=D11_snap=076_mass=14.69_reds=0.19_ax=y_rot=90,0.19,14.69,D11,076,y,90
0,tSZ_sim=D3_snap=064_mass=14.43_reds=0.38_ax=z_rot=180,0.38,14.43,D3,064,z,180
0,tSZ_sim=D26_snap=072_mass=14.74_reds=0.25_ax=x_rot=90,0.25,14.74,D26,072,x,90
0,tSZ_sim=D17_snap=080_mass=14.92_reds=0.13_ax=y_rot=0,0.13,14.92,D17,080,y,0
0,tSZ_sim=D21_snap=048_mass=14.42_reds=0.76_ax=z_rot=270,0.76,14.42,D21,048,z,270
0,tSZ_sim=D9_snap=036_mass=13.43_reds=1.48_ax=x_rot=0,1.48,13.43,D9,036,x,0
0,tSZ_sim=D20_snap=041_mass=14.23_reds=1.00_ax=y_rot=0,1.0,14.23,D20,041,y,0
0,tSZ_sim=D17_snap=084_mass=15.02_reds=0.08_ax=x_rot=180,0.08,15.02,D17,084,x,180
0,tSZ_sim=D2_snap=080_mass=14.37_reds=0.13_ax=y_rot=180,0.13,14.37,D2,080,y,180
0,tSZ_sim=D24_snap=064_mass=14.87_reds=0.39_ax=x_rot=180,0.39,14.87,D24,064,x,180
0,tSZ_sim=D27_snap=064_mass=14.72_reds=0.38_ax=x_rot=180,0.38,14.72,D27,064,x,180
0,tSZ_sim=D17_snap=048_mass=14.14_reds=0.76_ax=y_rot=180,0.76,14.14,D17,048,y,180
0,tSZ_sim=D20_snap=041_mass=14.23_reds=1.00_ax=y_rot=180,1.0,14.23,D20,041,y,180
0,tSZ_sim=D3_snap=068_mass=14.49_reds=0.31_ax=z_rot=180,0.31,14.49,D3,068,z,180
0,tSZ_sim=D24_snap=036_mass=14.19_reds=1.48_ax=y_rot=0,1.48,14.19,D24,036,y,0
0,tSZ_sim=D9_snap=040_mass=13.47_reds=1.05_ax=z_rot=180,1.05,13.47,D9,040,z,180
0,tSZ_sim=D25_snap=060_mass=14.18_reds=0.46_ax=y_rot=90,0.46,14.18,D25,060,y,90
0,tSZ_sim=D14_snap=040_mass=14.48_reds=1.05_ax=y_rot=90,1.05,14.48,D14,040,y,90
